long;lat;Name
-84.12633333333332;9.90625;PTZ 143 - 600mts norte de Tapachula
-84.12933333333332;9.902611111111112;PTZ 144 - Entrada a Salitrillos
-84.1308611111111;9.902777777777779;PTZ 145 - Hacia el reciclaje
-84.13766169140882;9.912720501266387;PTZ 146 - Bar El Bosque
-84.13717512224282;9.912598470202276;PTZ 147 - Parquecito Nuevo Lajas
-84.135247248509;9.912082831658543;PTZ 148 - Parqueo de Perros Avellana
-84.13354065611325;9.911532050037895;PTZ 149 - Pinturas Akualin
-84.1413888888889;9.914277777777778;PTZ 150 - Santa eduviges
-84.12827653265984;9.917399665181607;PTZ 151 - Entrada al Club - Bello Horizonte
-84.12733333333333;9.91711111111111;PTZ 152 - Cruce a Calle Basurero
-84.12196353075491;9.91729123086211;PTZ 153 - Parque de Nuevo Horizonte
-84.12480555555555;9.917166666666667;PTZ 154 - A casa cristal
-84.13467406427246;9.90589329326451;PTZ 155 - Frente al edificio nuevo de la policía municipal
-84.13549709539787;9.905891045495839;PTZ 156 - Parque infantil San Antonio
-84.13097222222221;9.90975;PTZ 157 - Super Alersa
-84.12948331255487;9.909250429150488;PTZ 158 - Lotes Badilla
-84.13222222222221;9.920333333333332;PTZ 159 - Gruta
-84.14322222222224;9.91313888888889;PTZ 160 - Cruce Pollo Juancho
-84.15533333333335;9.92911111111111;PTZ 161 - Cruce Tamarindo al oeste
-84.12875;9.921416666666666;PTZ 162 - Giacomin 300mts al este
-84.12863888888889;9.920972222222222;PTZ 163 - Entrada Bello Horizonte
-84.1502187203837;9.936693638103028;PTZ 164 - Detrás de los Laureles, camino al AMPM
-84.17866666666667;9.964444444444444;PTZ 165 - Parque Real Pereira
-84.14386111111112;9.940444444444445;PTZ 166 - Peatonal CIMA
-84.13209548498072;9.937793753154152;PTZ 167 - Puente Hamaca hacia Pavas
-84.12820205261824;9.935671444407156;PTZ 168 - Parada Walmart
-84.12831211510758;9.932232718382803;PTZ 169 - Pizza Hut
-84.1260527266877;9.935873725423983;PTZ 170 - Entrada Escazú -GlobalVía
-84.13913714958997;9.927895313391968;PTZ 171 - 300 mts Suroeste de Plaza Obelisco
-84.12820957923745;9.935641537911097;MD - Parada Walmart
